,color,x,y,inner,partcode
62,19,150.0,112.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
63,19,150.0,120.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
64,28,150.0,128.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
66,4,150.0,176.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
67,320,150.0,184.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
68,320,150.0,192.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
69,0,150.0,200.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
70,0,150.0,208.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
72,70,150.0,240.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
74,72,150.0,312.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
75,72,150.0,320.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
76,28,150.0,328.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
77,71,150.0,336.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
78,71,150.0,344.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
79,19,150.0,352.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
80,19,150.0,568.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
81,28,150.0,576.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
83,70,150.0,616.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
84,320,150.0,624.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
90,15,170.0,48.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
91,15,170.0,56.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
92,71,170.0,64.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
93,28,170.0,72.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
94,72,170.0,80.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
